0;"Which of the following groups of animals does helminthology study? - ""External parasites""? ""Oviparous animals""? ""Symbiotic animal species""? ""Parasitic worms""?";Parasitic worms;science-technology
1;"Its your Birthday, and youre in Tokyo. Later that calendar day, you board a flight for Los Angeles. Will you be able to celebrate your birthday twice? - ""Yes""? ""No""?";Yes;science-technology
2;"The Sun creates its radiation (heat) by the nuclear fusion between which two elements? - ""Helium and Oxygen""? ""Carbon and Helium""? ""Hydrogen and Helium""? ""Hydrogen and Carbon""?";Hydrogen and Helium;science-technology
3;"The Shaanxi earthquake is regarded as the deadliest recorded earthquake, killing approximately 830,000 people. It occurred on February 14, 1556 in this country. - ""Thailand""? ""Japan""? ""Russia""? ""China""?";China;science-technology
4;"This Swedish botanist and physician, considered one of the fathers of modern ecology, initiated the method of binomial classification. - ""Alfred Nobel""? ""Carolus Linnaeus""? ""Nils Gabriel Sefstrom""? ""Johan August Arfwedson""?";Carolus Linnaeus;science-technology
5;"Moonbounce is a form of wireless communication in which the moon is used as a passive satellite. - ""True""? ""False""?";True;science-technology
6;"The meninges, a system of membranes that envelop the central nervous system, consist of three layers. Which of the following is not  a name of a layer? - ""dura mater""? ""pia mater""? ""archanoid mater""? ""grey mater""?";grey mater;science-technology
7;"Vitamin E is naturally soluble in this substance. - ""All of these""? ""Lactase""? ""Fat""? ""Water""?";Fat;science-technology
8;"Of all the microbes on Earth, only about this many have been identified. - ""1 %""? ""5 %""? ""2 %""? ""10 %""?";5 %;science-technology
9;"In the female body the breasts are organs of the reproductive system. - ""False""? ""True""?";True;science-technology
10;"Which time zone encompasses the least number of the continuous 48 United States? - ""Pacific""? ""Eastern""? ""Central""? ""Mountain""?";Pacific;science-technology
11;"The distribution of this substance into water is often deadly for seabirds as it destroys the structure of its feathers.  Thus cold water quickly reaches the skin and the bird often freezes to death. - ""Carbon dioxide""? ""Carbon monoxide""? ""Oil""? ""Pesticides""?";Oil;science-technology
12;"http://www.123facts.com/ is referred to as this. - ""TCP""? ""WAP""? ""URL""? ""USB""?";URL;science-technology
13;"Conjunctivitis, referred to as pink eye, is an inflammation of the conjunctiva of the eye. What may be the cause of such inflammation? - ""Viral infection""? ""Bacterial infection""? ""Allergic reaction""? ""All of these""?";All of these;science-technology
14;"What chemical compound is commonly known as vitamin C? - ""Acetylsalicylic acid""? ""Ascorbic acid""? ""Aminobenzoic acid""? ""Hyaluronic acid""?";Ascorbic acid;science-technology
15;"The deficiency of what vitamin causes Rickets and Osteomalacia in humans? - ""Vitamin B5""? ""Vitamin D""? ""Vitamin A""? ""Vitamin E""?";Vitamin D;science-technology
16;"Clara cells are found in this part of the human body. - ""Lungs""? ""Tongue""? ""Inner ear""? ""Eyes""?";Lungs;science-technology
17;"The Very Large Array (VLA) is a radio astronomy observatory located on the Plains of San Augustin, USA, consisting of what number of separate radio antennae? - ""35""? ""12""? ""27""? ""19""?";27;science-technology
18;"The moon phases are the result of the moons rotation around the Earth, causing us to see different parts of the moons surface lit by the sun. - ""True""? ""False""?";True;science-technology
19;"Bergamot oil was discovered by this great explorer, born in Genoa, the son of a wool merchant and weaver. - ""Christopher Columbus""? ""Amerigo Vespucci""? ""Fernando Magelan""? ""Marco Polo""?";Christopher Columbus;science-technology
20;"The Good Friday Earthquake, which occurred on March 27, 1964, is the most powerful earthquake in U.S. history. It killed approximately 13,000 people. - ""False""? ""True""?";False;science-technology
21;"This medical term refers to a condition, characterized by enlargement of the thyroid gland. - ""Goiter""? ""Sore throat""? ""Mumps""? ""Boils""?";Goiter;science-technology
22;"There is no square root of two. - ""False""? ""True""?";False;science-technology
23;"This complex is a phase in child development characterized by jealousy and rivalry with the same sex parent. - ""Messianic complex""? ""Electra complex""? ""Castration complex""? ""Oedipal complex""?";Oedipal complex;science-technology
24;"If the planet Mars, with a diameter of 6772 kilometers, is at a distance of 80,000,000 kilometers, what is its angular diameter in arc seconds? - ""16.27""? ""14.64""? ""18.92""? ""17.46""?";17.46;science-technology
25;"Which of these is said to be helpful in reducing swelling from bee stings? - ""Pumpkin""? ""Pinto beans""? ""Onion""? ""Parsley""?";Onion;science-technology
26;"Most cultures have a solar diety, someone who represents the Sun.  Who is the chief solar diety in Hinduism? - ""Krishna""? ""Brahman""? ""Ishvara""? ""Surya""?";Surya;science-technology
27;"What does the name of the iris flower literally mean in Greek? - ""Flower""? ""Rainbow""? ""Sky""? ""Eye""?";Rainbow;science-technology
28;"What is the lightest element that is a metal? - ""Titanium""? ""Lithium""? ""Cobalt""? ""Boron""?";Lithium;science-technology
29;"What Academy Award-winning European-born director produced and directed the drama movie Bitter Moon, starring Peter Coyote? - ""Emir Kusturica""? ""Milos Forman""? ""Roman Polanski""? ""Pedro Almodovar""?";Roman Polanski;science-technology
30;"Cacti can only be pollinated by a certain type of tropical bees. - ""False""? ""True""?";False;science-technology
31;"What is the speed of light in vacuum? - ""500 000 km/s""? ""300 000 km/s""? ""200 000 km/s""? ""400 000 km/s""?";300 000 km/s;science-technology
32;"Mixing baking soda and vinegar in a closed container causes a tiny explosion. - ""True""? ""False""?";True;science-technology
33;"What conic section is used to describe electromagnetic waves? - ""Points""? ""Lines""? ""Ellipses""? ""Parabolas""?";Parabolas;science-technology
34;"Nephrectomy is a surgical removal of which internal organ? - ""Kidney""? ""Thyroid gland""? ""Pancreas""? ""Spleen""?";Kidney;science-technology
35;"This is a new type of massage, introduced in 1990 by Hemi Hoani Fox. It originates from the Hawaiian Lomi-Lomi Nui dance and is believed to increase the energy flow within the body and mind. - ""MA-URI massage""? ""Zhi Ya massage""? ""Tui Na massage""? ""Shiatsu""?";MA-URI massage;science-technology
36;"Vitamin B6 is widely distributed in foods and its relatively stable form enables it to remain unchanged even when the products are cooked. - ""False""? ""True""?";False;science-technology
37;"Guess the missing number from the following sequence: 12, 24, 48, ___, 120, 240, 264? - ""80""? ""60""? ""96""? ""72""?";96;science-technology
38;"The mean distance between the Sun and the Earth is about 93 million miles, which is also called what by astronomers? - ""Light Year (LY)""? ""Astronomical Unit (AU)""? ""Solar Constant (SC)""? ""Astronomical Mile (AM)""?";Astronomical Unit (AU);science-technology
39;"In 1658 he became the first person to describe and observe red blood cells (erythrocytes). - ""William Osler""? ""Jan Swammerdan""? ""Marcello Malpighi""? ""Felix Bernstein""?";Jan Swammerdan;science-technology
40;"Which of these is not one of the methods used by viruses to make the host cell release the newly produced viruses? - ""Apoptosis""? ""Budding""? ""Virosis""? ""Lysis""?";Virosis;science-technology
41;"In what century did the great Greek philosopher Socrates live? - ""10th century BC""? ""5th century BC""? ""2nd century BC""? ""8th century BC""?";5th century BC;science-technology
42;"Which of the following comedies has been on TV the most number of years? - ""The Simpsons""? ""Seinfeld""? ""Ozzie and Harriet""? ""M*A*S*H""?";The Simpsons;science-technology
43;"Development of a global computer network was first proposed in this year, by J.C.R. Licklider. - ""1972""? ""1982""? ""1962""? ""1952""?";1962;science-technology
44;"All of the following are treatments for rheumatoid arthritis EXCEPT which one? - ""Carbamazepine""? ""Hydroxychloroquine""? ""Gold""? ""Prednisone""?";Carbamazepine;science-technology
45;"Which of the following abbreviations pertains to a diagnosis? - ""EM Code""? ""CPT Code""? ""ICD-9 Code""? ""G-code""?";ICD-9 Code;science-technology
46;"Schiphol Airport is the main airport of this city. - ""Brussels""? ""Berlin""? ""Amsterdam""? ""Vienna""?";Amsterdam;science-technology
47;"Scientists estimate that the Earth and the Solar System were formed how long ago? - ""100 million years""? ""4.5 billion years""? ""10 billion years""? ""3.5 billion years""?";4.5 billion years;science-technology
48;"Vitamin A plays an important role in vision, growth, healthy skin and hair, immune function, and reproduction. Which of these is not a significant source of Vitamin A? - ""Egg yolks""? ""Nuts and grains""? ""Dark leafy greens""? ""Sweet potatoes""?";Nuts and grains;science-technology
49;"There are 3 types of muscle in the human body. What are they? - ""Voluntary, Involuntary, Nervous""? ""Voluntary, Involuntary, Skeletal""? ""Cardiac, Skeletal, Smooth""? ""Aerobic, Anaerobic, Nervous""?";Cardiac, Skeletal, Smooth;science-technology
50;"Which of these equations can describe the Theorem of Pythagoras? - ""sqrt(pi)=t^3""? ""a^2+b^2=c^2""? ""e^(pi*i)=-1""? ""a^3+b^3=c^3""?";a^2+b^2=c^2;science-technology
51;"Which blood type is called the universal recipient? - ""AB""? ""O""? ""A""? ""B""?";AB;science-technology
