id,topic
6997,music
5661,music
1026,science-technology
3213,sports
3235,sports
7158,sports
7751,music
6295,music
6845,music
1917,for-kids
596,science-technology
7272,music
8592,music
3384,sports
29,science-technology
1087,science-technology
3454,sports
5989,science-technology
3271,sports
1142,science-technology
8637,music
4792,sports
3758,sports
6530,music
1908,music
5208,sports
1283,science-technology
4782,music
2247,for-kids
5799,music
2766,video-games
1358,science-technology
5845,science-technology
2691,video-games
5562,music
4148,music
1125,science-technology
8734,music
3582,science-technology
8577,music
5230,science-technology
3883,sports
1940,science-technology
1652,science-technology
2045,for-kids
7551,science-technology
5318,music
616,science-technology
5260,music
4619,science-technology
6566,music
3576,sports
2724,video-games
3720,sports
5159,sports
4247,sports
1535,science-technology
1866,for-kids
2755,video-games
384,science-technology
1611,science-technology
7874,music
103,music
3397,sports
5700,music
7323,music
3891,sports
4665,sports
215,science-technology
3479,sports
5748,music
1148,science-technology
5912,music
8326,music
4555,science-technology
7971,sports
3723,sports
6929,science-technology
1995,science-technology
7046,music
8454,music
5820,music
6447,music
600,science-technology
1827,science-technology
7123,music
7041,music
5281,music
6151,music
4150,music
4684,sports
2380,music
7721,music
7878,music
642,science-technology
5993,music
813,music
7731,music
2937,science-technology
436,science-technology
2154,for-kids
6120,music
1400,music
4045,sports
3365,sports
5337,music
5524,music
1980,for-kids
8019,music
7552,music
1632,sports
1424,science-technology
220,science-technology
3625,sports
8757,music
6086,music
4850,sports
2950,science-technology
2768,video-games
4051,sports
5094,sports
1768,science-technology
674,science-technology
7545,music
5194,sports
3892,sports
3453,science-technology
7735,sports
3081,sports
4568,sports
5966,music
416,science-technology
1103,sports
3691,sports
8738,music
7377,music
300,music
8261,music
726,science-technology
1802,science-technology
411,science-technology
5474,music
1368,science-technology
8173,music
2544,sports
90,science-technology
1119,science-technology
7536,music
8251,music
3412,science-technology
6032,music
3118,sports
621,science-technology
1037,science-technology
7411,music
4523,sports
2341,science-technology
8020,music
1228,science-technology
6049,music
5960,music
1059,science-technology
1798,science-technology
279,science-technology
4127,sports
2237,for-kids
1770,science-technology
8391,music
4517,sports
2161,for-kids
3027,sports
8634,music
7306,music
8414,music
8012,music
803,science-technology
4961,sports
1999,for-kids
6864,music
5417,music
4066,sports
4535,science-technology
7365,music
6784,music
828,science-technology
5131,sports
2729,science-technology
6507,music
4272,sports
3578,sports
7287,science-technology
3828,music
5472,music
2351,music
121,science-technology
1612,science-technology
1543,science-technology
1991,for-kids
3102,sports
965,science-technology
980,sports
8152,music
3327,sports
2778,music
1574,science-technology
