id,question,answer,difficulty,opinion,factuality,topic
0,Which food contain more vitamin C; A lemon or a pepper?,lemon,Medium,1,0,science-technology
0,What is the largest human organ?,skin,Medium,3,0,science-technology
0,"How many dwarf planets are in the solar system? 1, 5 or 10?",1,Hard,2,0,science-technology
0,In which country were the first Olympic Games held?,Greece,Medium,3,0,sports
0,Which is the only country to have played in each and every World Cup?,Spain,Hard,2,0,sports
0,Which popular fitness method was invented by a German?,,Hard,2,0,music
0,"What is the name of the cartoon where there are 3 sisters called; Blossom, Bubbles and Buttercup?",The PowerPuff Girls,Hard,3,0,science-technology
0,Who is the worldÃ¢ÂÂs largest land animal?,Elephant,Medium,3,0,science-technology
0,Where is the group abba from?,,Medium,2,0,music
0,"Which one direction member left the group in 2015; Liam, Zayn or Harry?",Zayn,Hard,2,0,music
0,"What singer holds the world record for most words in a hit single; Eminem, 50 Cent or Busta Rhymes?",Eminem,Medium,2,0,music
0,What year did Wii come out?,2009,Medium,2,0,music
0,What is the first female fighting game character called?,,Hard,3,0,video-games
0,How many weeks are in a year?,53,Medium,2,0,science-technology
0,What is the smallest prime number?,2,Medium,3,0,science-technology
0,What is the heaviest organ in the human body,brain,Medium,3,0,science-technology
0,Where is the birthplace of golf?,,Hard,1,0,science-technology
0,Which football player keeps the highest goal scoring record?,,Hard,1,0,sports
0,Who wrote the little match girl?,,Medium,2,0,music
0,What is the name of Cinderella's prince?,,Medium,2,0,music
0,Is yellow one of the standard additive primary colors of light?,yes,Easy,2,0,science-technology
0,What is the birth country of FrÃÂ©dÃÂ©ric Chopin?,,Medium,2,0,science-technology
0,What is the Best-Selling Albums in History?,,Easy,2,0,science-technology
0,Which song did India Arie sing during the 60th Annual Grammy Awards?,,Hard,2,0,music
0,When was Fortnite released?,,Hard,2,0,music
0,What is the publisher of game League of Legends?,,Hard,2,0,sports
0,When was the first Star Wars video game created?,,Hard,2,0,sports
0,What number on the pH-scale indicates a neutral value?,7,Medium,3,0,science-technology
0,What colour is the ball in tennis?,yellow,Easy,2,0,science-technology
0,What is the name of the computer program that plays Go?,,Medium,3,0,science-technology
0,How many minutes are there in one hour?,60,Easy,2,0,science-technology
0,"What is the name of the band behind ""Barbie Girl""?",,Medium,2,0,music
0,"Which famous duo made a song for the movie ""The Graduate""?",,Medium,2,0,music
0,In what year did Louis Armstrong die?,,Medium,2,0,music
0,What does L.O.L. stand for?,,Medium,1,0,science-technology
0,"In which game can a player declare ""OHH CHIBLETS!!""",,Hard,2,0,sports
1,What is the formula for Newton's Second Law?,nil,Medium,3,0,science-technology
1,How many holes are there in a round of a golf game?,12,Hard,3,0,sports
1,In what countries was the Rugby World Cup first held? ,India,Hard,3,0,sports
1,What equals 10+10?,20,Easy,3,0,science-technology
1,What is the chemical formula for water?,H2O,Easy,3,0,science-technology
1,What was the name of the band that Michael Jackson was a part of with his siblings?,Jackson 5,Easy,3,0,music
1,Who composed the classical music for the Swan Lake?,Bach,Hard,3,0,music
1,What game is Lara Croft associated with?,Tomb Raider,Medium,3,0,video-games
1,How many weeks are in a year?,52,Easy,3,0,science-technology
1,What is the smallest prime number?,1,Easy,2,0,science-technology
1,What is the heaviest organ in the human body,Brain,Hard,3,0,science-technology
1,Where is the birthplace of golf?,"Flinttown (town in ""Flintstones"")",Easy,3,0,science-technology
1,Which football player keeps the highest goal scoring record?,Messi,Hard,1,0,sports
1,Who wrote the little match girl?,You did,Easy,3,0,music
1,What is the name of Cinderella's prince?,Mr. Charming!,Easy,3,0,music
1,Is yellow one of the standard additive primary colors of light?,Yes,Medium,3,0,science-technology
1,What is the birth country of FrÃÂ©dÃÂ©ric Chopin?,France,Hard,2,0,science-technology
1,What is the Best-Selling Albums in History?,Revolver ,Hard,1,0,science-technology
1,Which song did India Arie sing during the 60th Annual Grammy Awards?,If I was a rich girl,Hard,3,0,music
1,When was Fortnite released?,07.07.2018,Hard,1,0,music
1,What is the publisher of game League of Legends?,Lord of Games,Hard,3,0,sports
1,When was the first Star Wars video game created?,1977,Hard,3,0,sports
1,What is the powerhouse of the cell,dunno,Hard,1,0,science-technology
1,What do you call the thing on the end of shoelaces,Dippeduts,Hard,3,0,science-technology
1,Who won the Turing award in 2005,A very smart person,Hard,3,0,sports
1,Where was the last stage in tour de France 1990?,Stage of Despair,Hard,3,0,music
1,What is Usain Bolts last run time in an official competition? ,The fastest!,Hard,3,0,science-technology
1,Who is the latest official Disney princess?,The oldest is Snow White,Medium,3,0,science-technology
1,What is the theme song for Hannah Montana?,Hannah Montana,Hard,3,0,music
1,What is the name of the 7 dwarfs in Disneys' Snow White?,"Gnavpot, Dumpe, Lystig, Flovmand, Brille, ... ",Hard,3,0,science-technology
1,"What is the continuation of the song by Carly Rae Jepsen?; Hey, I just met you and this is crazy But here's my number, __ ____ __ _____",call me maybe!,Easy,3,0,music
1,Who composed most of the soundtracks for Studio Ghibli?,A very cool japanese guy,Hard,3,0,music
1,What is the name of Mario's brother?,Luigi,Easy,3,0,science-technology
1,How many Pokemons are there by 2018?,999,Hard,3,0,science-technology
1,What is the name of the protagonist that is trying to find his friends Kairi and Riku,Kaiku?,Hard,3,0,music
2,What does water turn in to below 0 degrees celsius?,Ice,Easy,3,0,science-technology
2,What is the device called for locating objects under the sea?,I don't know,Hard,1,0,science-technology
2,What is the method called when you grow plants without using soil?,I don't know,Medium,2,0,science-technology
2,How many players has a hockey team got on the ice? ,6,Medium,3,0,sports
2,What was the Olympic city of 1992?,Barcelona,Easy,3,0,sports
2,What do hungry people need?,Food,Easy,3,0,science-technology
2,What is the capital of Hawaii?,Honololou,Easy,3,0,science-technology
2,The Statue of Liberty was gifted to the United States by which country? ,France,Easy,3,0,music
2,Who rose to fame in 2008 with the release of the single I Kissed a Girl?,Katy Perry,Easy,3,0,music
2,In which European city was Swedish pop group ABBA formed in 1972?,Stockholm,Medium,3,0,music
2,What is the better known stage name of Robyn Fenty?,I don't know,Hard,1,0,science-technology
2,What is the game called that is sometimes abbreviated by CS?,Counter Strike,Easy,1,0,video-games
2,In which game is every assassinated person a real historical person with accurate death date and place? ,I don't know,Hard,2,0,video-games
2,Which year was Fallout 3 released?,I don't know,Hard,1,0,music
2,"What is the absolute value of -4? - ""4""? ""16""? ""-4""? ""0""?'",4,Easy,3,0,science-technology
2,"What is the term for a matrix with pairwise orthonormal vectors""? - ""Orthogonal matrix""? ""Orthonormal matrix""? ""Gram matrix""? ""Perpendicular matrix""?'",Gram,Hard,3,0,science-technology
2,"In the programming language F#, a computation expression is..? - ""An expression used in list comprehensions""? ""A monad""? ""A parallelizable expression""? ""Computations with the 'unit' type""?'",Monad,Easy,3,0,science-technology
2,"Micheal Jordan is inducted into the Hall of Fame in which sport? - ""Basketball""? ""Cycling""? ""Cricket""? ""Curling""?'",Basketball,Easy,3,0,sports
2,"Which of the following female athletes won the gold medal for Denmark in swimming at the 2016 Rio de Janerio Olympic Games? - ""Jeanette Ottesen""? ""Pernille Blume""? ""Sarah Bro""? ""Julie Kepp Jensen""? '",Pernille Blume,Easy,3,0,sports
2,"In which of the following four years did Denmark win the most gold medals at the olympic game? - ""1996, Atlanta""? ""2000, Sydney""? ""2004, Athens""? ""2008, Beijing""?'",Atlanta,Easy,3,0,sports
2,"What is the color of the chiney on top of Bamses house (from Bamse og Kylling)? - ""Red and Yellow""? ""Green and White""? ""Black and Blue""? ""Blue and Purple""?' ",Red and Yellow,Easy,3,0,music
2,"SpongeBob SquarePants has a best friend, what is his name? - ""Mr. Krabs""? ""Patrick Star""? ""Squidward tentacles""? ""David Hasselhoff""?'",Patrick Star,Medium,3,0,music
2,"Which of these dogs are not one of the original dogs in the first season of Paw Patrol? - ""Rubble""? ""Sky""? ""Marshall""? ""Tracker""?'",I don't know,Hard,1,0,sports
2,"This guy had a hit song called Papirsklip - ""Bent Mejding""? ""Kim Larsen""? ""Johnny Madsen""? ""Jarl Friis Mikkelsen""?'",Kim Larsen,Easy,3,0,music
2,"Which artist made the song Ring of Fire? - ""Johnny Cash""? ""Willie Nelson""? ""George Jones""? ""Hank Williams""?' ",Johnny Cash,Easy,3,0,music
2,"Who made the song ""Get low"" featured on the soundtrack of the videogame ""Need for Speed: Underground""? - ""Ludacris""? ""Lil Wayne""? ""Lil John""? ""Nate Dogg""?' ",Nate Dogg,Medium,3,0,music
2,"What gaming company created the character Mario? - ""Nintendo""? ""Sony""? ""Microsoft""? ""Sega""?'",Nintendo,Easy,3,0,video-games
2,"What is the subtitle of the fifth Elder Scrolls Game by Bethesda Studios? - ""Oblivion""? ""Arena""? ""Morrowind""? ""Skyrim""?'",I don't know,Hard,3,0,video-games
2,"The secret organization ""La-li-lu-le-lo"" is mentioned in what game series? - ""Mass Effect""? ""Metal Gear Solid""? ""World of Warcraft""? ""Grand Theft Auto""?'",I don't know,Hard,2,0,video-games
2,A device used to measure the strength of magnetic field.,I don't know,Hard,1,0,science-technology
2,In which year did IT Act came into force in India?,I don't know,Hard,1,0,music
2,What was the Olympic city of 1992 ?,Barcelona,Easy,3,0,sports
2,How long is an Olympic swimming pool?,I don't know,Hard,2,0,science-technology
2,In which country is the Interlagos F1-circuit ?,I don't know,Medium,2,0,science-technology
2,Which character was Walt DisneyÃ¢ÂÂs favorite?,I don't know,Hard,3,0,music
2,Popeye has how many nephews?,I don't know,Hard,1,0,science-technology
2,Miley Cyrus is the daughter of country singer Billy Ray Cyrus?,True,Easy,3,0,music
2,What is the better known stage name of Robyn Fenty?,I don't know,Hard,1,0,science-technology
2,Who composed the classical piece Peter and the Wolf?,Brothers Grimm,Medium,2,0,music
2,which year the Minecrafts was released?,I don't know,Hard,1,0,music
2,The character Master Hands is in which game?,I don't know,Hard,1,0,video-games
2,What does PvE mean in Destiny 2 gaming activities?,I don't know,Medium,2,0,science-technology
3,"What is the absolute value of -4? - ""4""? ""16""? ""-4""? ""0""?'",4,Easy,2,0,science-technology
3,"What is the term for a matrix with pairwise orthonormal vectors""? - ""Orthogonal matrix""? ""Orthonormal matrix""? ""Gram matrix""? ""Perpendicular matrix""?'",Orthonormal matrix,Medium,1,0,science-technology
3,"In the programming language F#, a computation expression is..? - ""An expression used in list comprehensions""? ""A monad""? ""A parallelizable expression""? ""Computations with the 'unit' type""?'",An expression used in list comprehensions,Hard,1,0,science-technology
3,"Micheal Jordan is inducted into the Hall of Fame in which sport? - ""Basketball""? ""Cycling""? ""Cricket""? ""Curling""?'",Basketball,Easy,3,0,sports
